=== Sorting Benchmark ===
Array size: 67108864 elements (0.250 GB)
Data type: 4 bytes
Runs per test: 3

algorithm,distribution,size,time_us,time_sec,throughput_MB_s,cost_per_GB
timsort_run32,random_uniform,67108864,5729001.33,5.729001,44.68,0.00318278
timsort_run64,random_uniform,67108864,5749566.00,5.749566,44.53,0.00319420
timsort_run128,random_uniform,67108864,6088237.00,6.088237,42.05,0.00338235
timsort_run256,random_uniform,67108864,6989731.33,6.989731,36.63,0.00388318
timsort_run512,random_uniform,67108864,9009241.33,9.009241,28.42,0.00500513
timsort_pf_run64,random_uniform,67108864,6202629.67,6.202630,41.27,0.00344591
timsort_pf_run128,random_uniform,67108864,6299507.33,6.299507,40.64,0.00349973
timsort_pf_run256,random_uniform,67108864,6788196.00,6.788196,37.71,0.00377122
radix_lsd,random_uniform,67108864,854943.67,0.854944,299.43,0.00047497
radix_hybrid,random_uniform,67108864,849637.33,0.849637,301.31,0.00047202
timsort_parallel_t2,random_uniform,67108864,3122679.00,3.122679,81.98,0.00173482
timsort_parallel_t4,random_uniform,67108864,1945347.67,1.945348,131.60,0.00108075
timsort_parallel_t8,random_uniform,67108864,1446390.33,1.446390,176.99,0.00080355
timsort_parallel_t16,random_uniform,67108864,1423441.33,1.423441,179.85,0.00079080
timsort_run32,nearly_sorted,67108864,1165410.33,1.165410,219.67,0.00064745
timsort_run64,nearly_sorted,67108864,1091678.00,1.091678,234.50,0.00060649
timsort_run128,nearly_sorted,67108864,1082773.33,1.082773,236.43,0.00060154
timsort_run256,nearly_sorted,67108864,1052224.33,1.052224,243.29,0.00058457
timsort_run512,nearly_sorted,67108864,1112333.00,1.112333,230.15,0.00061796
timsort_pf_run64,nearly_sorted,67108864,1475642.00,1.475642,173.48,0.00081980
timsort_pf_run128,nearly_sorted,67108864,1431822.00,1.431822,178.79,0.00079546
timsort_pf_run256,nearly_sorted,67108864,1392844.33,1.392844,183.80,0.00077380
radix_lsd,nearly_sorted,67108864,940091.33,0.940091,272.31,0.00052227
radix_hybrid,nearly_sorted,67108864,939748.00,0.939748,272.41,0.00052208
timsort_parallel_t2,nearly_sorted,67108864,576600.33,0.576600,443.98,0.00032033
timsort_parallel_t4,nearly_sorted,67108864,448115.33,0.448115,571.28,0.00024895
timsort_parallel_t8,nearly_sorted,67108864,483603.00,0.483603,529.36,0.00026867
timsort_parallel_t16,nearly_sorted,67108864,521003.67,0.521004,491.36,0.00028945
timsort_run32,reverse_sorted,67108864,1406467.33,1.406467,182.02,0.00078137
timsort_run64,reverse_sorted,67108864,1953047.67,1.953048,131.08,0.00108503
timsort_run128,reverse_sorted,67108864,3167771.00,3.167771,80.81,0.00175987
timsort_run256,reverse_sorted,67108864,5482835.67,5.482836,46.69,0.00304602
timsort_run512,reverse_sorted,67108864,10002132.67,10.002133,25.59,0.00555674
timsort_pf_run64,reverse_sorted,67108864,1689002.33,1.689002,151.57,0.00093833
timsort_pf_run128,reverse_sorted,67108864,2525751.33,2.525751,101.36,0.00140320
timsort_pf_run256,reverse_sorted,67108864,4033296.33,4.033296,63.47,0.00224072
radix_lsd,reverse_sorted,67108864,1004322.33,1.004322,254.90,0.00055796
radix_hybrid,reverse_sorted,67108864,1004815.67,1.004816,254.77,0.00055823
timsort_parallel_t2,reverse_sorted,67108864,1041449.67,1.041450,245.81,0.00057858
timsort_parallel_t4,reverse_sorted,67108864,678530.00,0.678530,377.29,0.00037696
timsort_parallel_t8,reverse_sorted,67108864,580298.00,0.580298,441.15,0.00032239
timsort_parallel_t16,reverse_sorted,67108864,558684.67,0.558685,458.22,0.00031038
timsort_run32,few_unique,67108864,2481534.67,2.481535,103.16,0.00137863
timsort_run64,few_unique,67108864,2525193.33,2.525193,101.38,0.00140289
timsort_run128,few_unique,67108864,2856537.67,2.856538,89.62,0.00158697
timsort_run256,few_unique,67108864,3779820.33,3.779820,67.73,0.00209990
timsort_run512,few_unique,67108864,5896976.67,5.896977,43.41,0.00327610
timsort_pf_run64,few_unique,67108864,2837037.33,2.837037,90.23,0.00157613
timsort_pf_run128,few_unique,67108864,2943029.67,2.943030,86.99,0.00163502
timsort_pf_run256,few_unique,67108864,3438353.00,3.438353,74.45,0.00191020
radix_lsd,few_unique,67108864,392457.00,0.392457,652.30,0.00021803
radix_hybrid,few_unique,67108864,391940.33,0.391940,653.16,0.00021774
timsort_parallel_t2,few_unique,67108864,1346405.33,1.346405,190.14,0.00074800
timsort_parallel_t4,few_unique,67108864,783755.33,0.783755,326.63,0.00043542
timsort_parallel_t8,few_unique,67108864,632424.67,0.632425,404.79,0.00035135
timsort_parallel_t16,few_unique,67108864,591008.67,0.591009,433.16,0.00032834

=== Benchmark Complete ===
