=== Sorting Benchmark ===
Array size: 33554432 elements (0.125 GB)
Data type: 4 bytes
Runs per test: 5

algorithm,distribution,size,time_us,time_sec,throughput_MB_s,cost_per_GB
timsort_run32,random_uniform,33554432,2802326.00,2.802326,45.68,0.00311370
timsort_run64,random_uniform,33554432,2736123.00,2.736123,46.78,0.00304014
timsort_run128,random_uniform,33554432,2780237.00,2.780237,46.04,0.00308915
timsort_run256,random_uniform,33554432,3030199.60,3.030200,42.24,0.00336689
timsort_run512,random_uniform,33554432,3665882.40,3.665882,34.92,0.00407320
timsort_pf_run64,random_uniform,33554432,3063922.00,3.063922,41.78,0.00340436
timsort_pf_run128,random_uniform,33554432,3192878.40,3.192878,40.09,0.00354764
timsort_pf_run256,random_uniform,33554432,3625593.00,3.625593,35.30,0.00402844
radix_lsd,random_uniform,33554432,464731.60,0.464732,275.43,0.00051637
radix_hybrid,random_uniform,33554432,464211.40,0.464211,275.74,0.00051579
timsort_run32,nearly_sorted,33554432,697908.60,0.697909,183.41,0.00077545
timsort_run64,nearly_sorted,33554432,655931.20,0.655931,195.14,0.00072881
timsort_run128,nearly_sorted,33554432,607728.80,0.607729,210.62,0.00067525
timsort_run256,nearly_sorted,33554432,561270.60,0.561271,228.05,0.00062363
timsort_run512,nearly_sorted,33554432,532501.00,0.532501,240.38,0.00059167
timsort_pf_run64,nearly_sorted,33554432,876207.60,0.876208,146.08,0.00097356
timsort_pf_run128,nearly_sorted,33554432,828922.80,0.828923,154.42,0.00092103
timsort_pf_run256,nearly_sorted,33554432,780286.00,0.780286,164.04,0.00086698
radix_lsd,nearly_sorted,33554432,481615.20,0.481615,265.77,0.00053513
radix_hybrid,nearly_sorted,33554432,481151.20,0.481151,266.03,0.00053461
timsort_run32,reverse_sorted,33554432,595656.00,0.595656,214.89,0.00066184
timsort_run64,reverse_sorted,33554432,757978.80,0.757979,168.87,0.00084220
timsort_run128,reverse_sorted,33554432,1175915.60,1.175916,108.85,0.00130657
timsort_run256,reverse_sorted,33554432,1950727.20,1.950727,65.62,0.00216747
timsort_run512,reverse_sorted,33554432,3454197.60,3.454198,37.06,0.00383800
timsort_pf_run64,reverse_sorted,33554432,1036337.20,1.036337,123.51,0.00115149
timsort_pf_run128,reverse_sorted,33554432,1636548.00,1.636548,78.21,0.00181839
timsort_pf_run256,reverse_sorted,33554432,2816268.60,2.816269,45.45,0.00312919
radix_lsd,reverse_sorted,33554432,513509.80,0.513510,249.26,0.00057057
radix_hybrid,reverse_sorted,33554432,513288.80,0.513289,249.37,0.00057032
timsort_run32,few_unique,33554432,1273095.00,1.273095,100.54,0.00141455
timsort_run64,few_unique,33554432,1217981.00,1.217981,105.09,0.00135331
timsort_run128,few_unique,33554432,1274417.80,1.274418,100.44,0.00141602
timsort_run256,few_unique,33554432,1538262.40,1.538262,83.21,0.00170918
timsort_run512,few_unique,33554432,2214959.00,2.214959,57.79,0.00246107
timsort_pf_run64,few_unique,33554432,1542675.00,1.542675,82.97,0.00171408
timsort_pf_run128,few_unique,33554432,1686596.00,1.686596,75.89,0.00187400
timsort_pf_run256,few_unique,33554432,2110671.60,2.110672,60.64,0.00234519
radix_lsd,few_unique,33554432,229546.60,0.229547,557.62,0.00025505
radix_hybrid,few_unique,33554432,229407.80,0.229408,557.96,0.00025490

=== Benchmark Complete ===
